VM,PowerState,OS according to the configuration file,CPUs,Memory,Provisioned (GB),Used (GB),Datacenter,Cluster,Host,Network #1,IP Address #1,Folder
mon-08348,poweredOn,ubuntu 22.04,3,7168,40,20.0,dc1,cl-monitoring,cl-monitoring-esx01,dvPG-vlan30,10.10.30.19,/prod/monitoring
db-08349,poweredOn,centos 7.9,9,61440,452,226.0,dc2,cl-db,cl-db-esx01,dvPG-vlan78,10.20.49.88,/prod/db
app-08350,poweredOn,rhel 8.6,8,4096,144,72.0,dc1,cl-app,cl-app-esx01,dvPG-vlan12,10.10.45.200,/staging/app
app-08351,poweredOn,centos 7.9,4,13312,141,70.5,dc2,cl-app,cl-app-esx01,dvPG-vlan45,10.20.33.137,/prod/app
app-08352,poweredOn,rhel 8.6,3,14336,173,86.5,dc1,cl-app,cl-app-esx01,dvPG-vlan18,10.10.2.123,/staging/app
srv-08353,poweredOn,centos 7.9,2,8192,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan69,10.10.60.37,/staging/general
app-08354,poweredOn,centos 7.9,2,12288,172,86.0,dc1,cl-app,cl-app-esx01,dvPG-vlan23,10.10.40.8,/prod/app
app-08355,poweredOn,centos 7.9,5,8192,138,69.0,dc3,cl-app,cl-app-esx01,dvPG-vlan12,10.30.27.35,/prod/app
srv-08356,poweredOn,2019,5,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan18,10.10.39.70,/prod/general
srv-08357,poweredOn,ubuntu 22.04,3,9216,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan17,10.20.42.250,/prod/general
srv-08358,poweredOn,centos 7.9,2,10240,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan72,10.10.24.69,/staging/general
web-08359,poweredOn,centos 8.4,2,6144,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan66,10.20.27.74,/prod/web
srv-08361,poweredOn,centos 7.9,7,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan89,10.10.26.11,/prod/general
srv-08362,poweredOn,centos 7.9,3,4096,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan62,10.20.33.89,/prod/general
srv-08365,poweredOn,centos 7.9,3,7168,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan66,10.30.39.241,/prod/general
web-08367,poweredOn,centos 8.4,3,7168,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan21,10.30.18.168,/prod/web
app-08368,poweredOn,ubuntu 22.04,5,11264,147,73.5,dc1,cl-app,cl-app-esx01,dvPG-vlan26,10.10.29.209,/staging/app
app-08369,poweredOn,rhel 8.6,7,11264,170,85.0,dc3,cl-app,cl-app-esx01,dvPG-vlan69,10.30.19.47,/staging/app
app-08370,poweredOn,ubuntu 22.04,7,5120,149,74.5,dc2,cl-app,cl-app-esx01,dvPG-vlan81,10.20.26.209,/prod/app
srv-08371,poweredOn,2019,7,16384,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan83,10.20.60.138,/prod/general
srv-08372,poweredOn,2019,2,11264,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan75,10.30.57.130,/prod/general
app-08374,poweredOn,ubuntu 22.04,3,7168,130,65.0,dc1,cl-app,cl-app-esx01,dvPG-vlan31,10.10.50.31,/prod/app
app-08375,poweredOn,centos 7.9,3,13312,139,69.5,dc1,cl-app,cl-app-esx01,dvPG-vlan77,10.10.37.37,/prod/app
srv-08376,poweredOn,ubuntu 22.04,5,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan32,10.10.32.239,/staging/general
srv-08377,poweredOn,ubuntu 22.04,3,6144,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan11,10.30.58.15,/prod/general
app-08378,poweredOn,centos 7.9,3,12288,154,77.0,dc1,cl-app,cl-app-esx01,dvPG-vlan27,10.10.1.12,/prod/app
app-08379,poweredOn,centos 7.9,5,8192,167,83.5,dc1,cl-app,cl-app-esx01,dvPG-vlan75,10.10.18.206,/staging/app
db-08380,poweredOn,centos 7.9,12,62464,450,225.0,dc2,cl-db,cl-db-esx01,dvPG-vlan32,10.20.11.153,/prod/db
web-08381,poweredOn,centos 8.4,3,6144,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan31,10.30.54.164,/prod/web
srv-08382,poweredOn,2019,7,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan30,10.10.40.127,/prod/general
srv-08383,poweredOn,debian 11,3,13312,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan44,10.20.21.115,/prod/general
app-08384,poweredOn,rhel 8.6,3,10240,164,82.0,dc2,cl-app,cl-app-esx01,dvPG-vlan54,10.20.60.221,/prod/app
web-08385,poweredOn,centos 8.4,2,4096,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan43,10.30.15.39,/prod/web
db-08386,poweredOn,centos 7.9,15,35840,471,235.5,dc3,cl-db,cl-db-esx01,dvPG-vlan67,10.30.54.79,/prod/db
app-08387,poweredOn,rhel 8.6,6,15360,134,67.0,dc1,cl-app,cl-app-esx01,dvPG-vlan63,10.10.9.236,/prod/app
app-08388,poweredOn,ubuntu 22.04,3,7168,168,84.0,dc2,cl-app,cl-app-esx01,dvPG-vlan69,10.20.36.19,/prod/app
app-08389,poweredOn,rhel 8.6,3,15360,146,73.0,dc2,cl-app,cl-app-esx01,dvPG-vlan55,10.20.50.5,/prod/app
srv-08390,poweredOn,debian 11,3,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan75,10.10.32.167,/dev/general
app-08392,poweredOn,rhel 8.6,8,13312,138,69.0,dc2,cl-app,cl-app-esx01,dvPG-vlan11,10.20.58.45,/prod/app
app-08396,poweredOn,rhel 8.6,8,12288,162,81.0,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.19.121,/prod/app
srv-08397,poweredOn,2019,4,8192,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan32,10.20.58.102,/dev/general
mon-08398,poweredOn,ubuntu 22.04,4,6144,40,20.0,dc2,cl-monitoring,cl-monitoring-esx01,dvPG-vlan71,10.20.15.132,/dev/monitoring
app-08399,poweredOn,ubuntu 22.04,6,5120,175,87.5,dc1,cl-app,cl-app-esx01,dvPG-vlan16,10.10.12.237,/prod/app
app-08400,poweredOn,rhel 8.6,3,6144,163,81.5,dc1,cl-app,cl-app-esx01,dvPG-vlan71,10.10.24.241,/staging/app
app-08401,poweredOn,ubuntu 22.04,8,13312,155,77.5,dc1,cl-app,cl-app-esx01,dvPG-vlan61,10.10.19.234,/prod/app
app-08402,poweredOn,ubuntu 22.04,3,13312,131,65.5,dc1,cl-app,cl-app-esx01,dvPG-vlan11,10.10.2.159,/prod/app
app-08403,poweredOn,ubuntu 22.04,3,16384,133,66.5,dc3,cl-app,cl-app-esx01,dvPG-vlan87,10.30.28.166,/dev/app
web-08404,poweredOn,centos 8.4,4,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan23,10.10.1.71,/prod/web
srv-08405,poweredOn,ubuntu 22.04,4,4096,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan54,10.20.54.58,/prod/general
db-08406,poweredOn,centos 7.9,13,39936,465,232.5,dc2,cl-db,cl-db-esx01,dvPG-vlan42,10.20.8.194,/dev/db
srv-08407,poweredOn,centos 7.9,4,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan38,10.10.37.85,/prod/general
web-08408,poweredOn,centos 8.4,4,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan71,10.10.36.185,/prod/web
web-08409,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan59,10.10.36.49,/prod/web
app-08410,poweredOn,rhel 8.6,3,10240,159,79.5,dc1,cl-app,cl-app-esx01,dvPG-vlan90,10.10.8.23,/prod/app
app-08411,poweredOn,rhel 8.6,4,13312,177,88.5,dc1,cl-app,cl-app-esx01,dvPG-vlan13,10.10.18.238,/prod/app
app-08412,poweredOn,ubuntu 22.04,4,16384,158,79.0,dc1,cl-app,cl-app-esx01,dvPG-vlan12,10.10.36.48,/prod/app
app-08413,poweredOn,ubuntu 22.04,8,15360,132,66.0,dc1,cl-app,cl-app-esx01,dvPG-vlan81,10.10.27.216,/staging/app
srv-08414,poweredOn,debian 11,4,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan84,10.10.32.216,/prod/general
srv-08415,poweredOn,2019,7,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan89,10.10.15.52,/prod/general
app-08417,poweredOn,ubuntu 22.04,7,9216,150,75.0,dc1,cl-app,cl-app-esx01,dvPG-vlan38,10.10.8.202,/staging/app
app-08419,poweredOn,rhel 8.6,4,14336,134,67.0,dc1,cl-app,cl-app-esx01,dvPG-vlan87,10.10.16.199,/prod/app
srv-08420,poweredOn,2019,3,5120,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan23,10.30.58.65,/dev/general
app-08421,poweredOn,ubuntu 22.04,3,10240,157,78.5,dc1,cl-app,cl-app-esx01,dvPG-vlan60,10.10.33.170,/prod/app
app-08422,poweredOn,centos 7.9,6,14336,174,87.0,dc3,cl-app,cl-app-esx01,dvPG-vlan23,10.30.26.231,/dev/app
app-08423,poweredOn,centos 7.9,6,5120,149,74.5,dc1,cl-app,cl-app-esx01,dvPG-vlan79,10.10.59.92,/staging/app
srv-08424,poweredOn,2019,2,14336,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan77,10.20.22.12,/dev/general
app-08425,poweredOn,centos 7.9,2,4096,142,71.0,dc2,cl-app,cl-app-esx01,dvPG-vlan11,10.20.2.222,/staging/app
web-08426,poweredOn,centos 8.4,3,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan17,10.10.35.248,/prod/web
app-08427,poweredOn,ubuntu 22.04,2,7168,174,87.0,dc1,cl-app,cl-app-esx01,dvPG-vlan68,10.10.20.36,/staging/app
app-08428,poweredOn,centos 7.9,3,10240,143,71.5,dc3,cl-app,cl-app-esx01,dvPG-vlan29,10.30.1.113,/staging/app
db-08429,poweredOn,oracle linux 8.6,16,36864,477,238.5,dc1,cl-db,cl-db-esx01,dvPG-vlan17,10.10.43.88,/staging/db
web-08430,poweredOn,ubuntu 22.04,3,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan33,10.10.57.70,/prod/web
db-08431,poweredOn,oracle linux 8.6,8,33792,490,245.0,dc2,cl-db,cl-db-esx01,dvPG-vlan60,10.20.13.230,/prod/db
app-08432,poweredOn,centos 7.9,8,5120,130,65.0,dc1,cl-app,cl-app-esx01,dvPG-vlan13,10.10.54.65,/prod/app
app-08433,poweredOn,ubuntu 22.04,8,14336,150,75.0,dc3,cl-app,cl-app-esx01,dvPG-vlan10,10.30.11.53,/prod/app
srv-08434,poweredOn,2019,6,12288,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan39,10.10.47.203,/dev/general
app-08435,poweredOn,ubuntu 22.04,6,10240,146,73.0,dc1,cl-app,cl-app-esx01,dvPG-vlan45,10.10.35.67,/prod/app
app-08436,poweredOn,centos 7.9,2,13312,170,85.0,dc1,cl-app,cl-app-esx01,dvPG-vlan24,10.10.10.38,/staging/app
db-08437,poweredOn,oracle linux 8.6,10,59392,463,231.5,dc1,cl-db,cl-db-esx01,dvPG-vlan83,10.10.49.186,/staging/db
app-08438,poweredOn,rhel 8.6,8,5120,145,72.5,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.45.131,/prod/app
srv-08442,poweredOn,debian 11,2,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan79,10.10.33.165,/prod/general
srv-08443,poweredOn,centos 7.9,4,12288,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan60,10.10.24.207,/prod/general
web-08445,poweredOn,ubuntu 22.04,3,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan45,10.10.13.249,/prod/web
srv-08446,poweredOn,debian 11,3,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan11,10.10.32.36,/prod/general
app-08447,poweredOn,rhel 8.6,8,7168,137,68.5,dc1,cl-app,cl-app-esx01,dvPG-vlan64,10.10.19.147,/prod/app
srv-08448,poweredOn,centos 7.9,2,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan21,10.10.52.107,/prod/general
srv-08449,poweredOn,2019,8,6144,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan63,10.20.48.138,/staging/general
app-08450,poweredOn,centos 7.9,8,7168,152,76.0,dc1,cl-app,cl-app-esx01,dvPG-vlan56,10.10.43.3,/prod/app
app-08451,poweredOn,centos 7.9,8,12288,147,73.5,dc1,cl-app,cl-app-esx01,dvPG-vlan49,10.10.14.221,/prod/app
web-08452,poweredOn,ubuntu 22.04,2,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan32,10.10.33.216,/dev/web
app-08453,poweredOn,ubuntu 22.04,8,14336,175,87.5,dc1,cl-app,cl-app-esx01,dvPG-vlan89,10.10.33.134,/prod/app
srv-08454,poweredOn,centos 7.9,8,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan87,10.10.37.24,/prod/general
app-08455,poweredOn,ubuntu 22.04,3,13312,142,71.0,dc1,cl-app,cl-app-esx01,dvPG-vlan14,10.10.12.7,/staging/app
web-08456,poweredOn,ubuntu 22.04,3,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan46,10.10.14.172,/staging/web
db-08457,poweredOn,centos 7.9,9,45056,486,243.0,dc2,cl-db,cl-db-esx01,dvPG-vlan47,10.20.20.211,/dev/db
db-08458,poweredOn,centos 7.9,9,50176,485,242.5,dc1,cl-db,cl-db-esx01,dvPG-vlan85,10.10.48.27,/prod/db
db-08459,poweredOn,oracle linux 8.6,13,62464,472,236.0,dc1,cl-db,cl-db-esx01,dvPG-vlan81,10.10.28.42,/staging/db
app-08462,poweredOn,centos 7.9,5,7168,133,66.5,dc2,cl-app,cl-app-esx01,dvPG-vlan71,10.20.24.160,/dev/app
srv-08463,poweredOn,centos 7.9,6,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan72,10.10.16.147,/dev/general
app-08464,poweredOn,centos 7.9,8,4096,143,71.5,dc1,cl-app,cl-app-esx01,dvPG-vlan21,10.10.13.172,/staging/app
db-08465,poweredOn,centos 7.9,16,53248,475,237.5,dc2,cl-db,cl-db-esx01,dvPG-vlan58,10.20.40.64,/prod/db
srv-08466,poweredOn,2019,3,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan10,10.10.38.130,/prod/general
srv-08467,poweredOn,ubuntu 22.04,7,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan25,10.10.41.92,/staging/general
app-08468,poweredOn,centos 7.9,6,11264,158,79.0,dc1,cl-app,cl-app-esx01,dvPG-vlan21,10.10.26.10,/prod/app
web-08469,poweredOn,ubuntu 22.04,3,6144,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan56,10.20.47.241,/prod/web
srv-08470,poweredOn,2019,6,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan83,10.10.32.180,/prod/general
app-08471,poweredOn,rhel 8.6,2,5120,153,76.5,dc2,cl-app,cl-app-esx01,dvPG-vlan83,10.20.45.138,/staging/app
web-08472,poweredOn,ubuntu 22.04,2,8192,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan25,10.20.12.18,/staging/web
srv-08473,poweredOn,centos 7.9,7,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan70,10.10.25.173,/prod/general
cache-08474,poweredOn,centos 7.9,4,32768,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan41,10.10.6.59,/prod/cache
mon-08475,poweredOn,ubuntu 22.04,4,6144,40,20.0,dc2,cl-monitoring,cl-monitoring-esx01,dvPG-vlan13,10.20.41.171,/staging/monitoring
app-08476,poweredOn,ubuntu 22.04,4,7168,176,88.0,dc1,cl-app,cl-app-esx01,dvPG-vlan40,10.10.47.237,/prod/app
srv-08477,poweredOn,2019,7,10240,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan89,10.10.38.199,/prod/general
app-08478,poweredOn,centos 7.9,5,14336,164,82.0,dc3,cl-app,cl-app-esx01,dvPG-vlan21,10.30.9.150,/staging/app
web-08479,poweredOn,ubuntu 22.04,4,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan79,10.10.2.59,/prod/web
app-08480,poweredOn,rhel 8.6,4,11264,163,81.5,dc1,cl-app,cl-app-esx01,dvPG-vlan34,10.10.7.152,/prod/app
web-08481,poweredOn,centos 8.4,2,4096,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan71,10.20.46.6,/prod/web
web-08482,poweredOn,centos 8.4,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan27,10.10.26.140,/dev/web
srv-08483,poweredOn,centos 7.9,8,11264,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan47,10.20.40.147,/prod/general
cache-08484,poweredOn,centos 7.9,4,19456,40,20.0,dc2,cl-cache,cl-cache-esx01,dvPG-vlan59,10.20.55.46,/staging/cache
web-08485,poweredOn,centos 8.4,4,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan14,10.10.24.106,/prod/web
app-08486,poweredOn,centos 7.9,8,15360,144,72.0,dc1,cl-app,cl-app-esx01,dvPG-vlan48,10.10.32.8,/prod/app
db-08488,poweredOn,oracle linux 8.6,11,59392,461,230.5,dc2,cl-db,cl-db-esx01,dvPG-vlan15,10.20.39.93,/staging/db
cache-08489,poweredOn,centos 7.9,4,23552,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan48,10.10.7.90,/dev/cache
srv-08490,poweredOn,2019,8,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan25,10.10.60.185,/prod/general
srv-08492,poweredOn,2019,4,12288,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan54,10.10.11.16,/prod/general
web-08493,poweredOn,centos 8.4,2,7168,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan12,10.20.41.142,/staging/web
web-08494,poweredOn,centos 8.4,4,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan36,10.10.16.230,/prod/web
srv-08495,poweredOn,centos 7.9,5,13312,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan26,10.30.13.137,/staging/general
srv-08496,poweredOn,2019,6,14336,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan66,10.20.44.249,/prod/general
app-08497,poweredOn,ubuntu 22.04,3,12288,168,84.0,dc1,cl-app,cl-app-esx01,dvPG-vlan87,10.10.7.112,/staging/app
app-08498,poweredOn,ubuntu 22.04,2,15360,160,80.0,dc1,cl-app,cl-app-esx01,dvPG-vlan67,10.10.38.202,/prod/app
srv-08499,poweredOn,debian 11,3,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan77,10.10.24.54,/prod/general
db-08500,poweredOn,centos 7.9,10,65536,452,226.0,dc2,cl-db,cl-db-esx01,dvPG-vlan57,10.20.47.31,/prod/db
web-08501,poweredOn,ubuntu 22.04,4,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan88,10.10.35.5,/prod/web
db-08502,poweredOn,oracle linux 8.6,14,32768,488,244.0,dc1,cl-db,cl-db-esx01,dvPG-vlan23,10.10.57.169,/staging/db
app-08504,poweredOn,rhel 8.6,4,4096,151,75.5,dc3,cl-app,cl-app-esx01,dvPG-vlan88,10.30.13.52,/dev/app
srv-08505,poweredOn,centos 7.9,2,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan27,10.10.28.226,/prod/general
mon-08506,poweredOn,ubuntu 22.04,2,8192,40,20.0,dc1,cl-monitoring,cl-monitoring-esx01,dvPG-vlan24,10.10.13.17,/prod/monitoring
web-08507,poweredOn,ubuntu 22.04,2,7168,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan71,10.20.10.229,/prod/web
app-08510,poweredOn,ubuntu 22.04,2,4096,163,81.5,dc1,cl-app,cl-app-esx01,dvPG-vlan50,10.10.3.48,/dev/app
app-08511,poweredOn,centos 7.9,6,8192,169,84.5,dc2,cl-app,cl-app-esx01,dvPG-vlan73,10.20.27.168,/prod/app
app-08512,poweredOn,centos 7.9,5,7168,174,87.0,dc2,cl-app,cl-app-esx01,dvPG-vlan20,10.20.10.65,/prod/app
app-08513,poweredOn,rhel 8.6,2,15360,136,68.0,dc1,cl-app,cl-app-esx01,dvPG-vlan41,10.10.37.171,/prod/app
app-08514,poweredOn,centos 7.9,2,11264,148,74.0,dc2,cl-app,cl-app-esx01,dvPG-vlan74,10.20.13.249,/prod/app
app-08515,poweredOn,centos 7.9,8,9216,151,75.5,dc2,cl-app,cl-app-esx01,dvPG-vlan66,10.20.53.207,/prod/app
srv-08516,poweredOn,2019,8,6144,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan41,10.20.46.81,/prod/general
srv-08517,poweredOn,centos 7.9,7,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan28,10.10.23.170,/dev/general
app-08518,poweredOn,ubuntu 22.04,6,6144,158,79.0,dc3,cl-app,cl-app-esx01,dvPG-vlan58,10.30.51.86,/prod/app
srv-08519,poweredOn,ubuntu 22.04,7,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan41,10.10.46.202,/prod/general
srv-08520,poweredOn,debian 11,8,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan53,10.10.59.209,/prod/general
srv-08521,poweredOn,debian 11,8,16384,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan90,10.30.29.242,/prod/general
app-08522,poweredOn,rhel 8.6,2,10240,139,69.5,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.31.202,/prod/app
db-08523,poweredOn,centos 7.9,8,55296,461,230.5,dc1,cl-db,cl-db-esx01,dvPG-vlan79,10.10.48.218,/prod/db
app-08524,poweredOn,centos 7.9,3,11264,169,84.5,dc3,cl-app,cl-app-esx01,dvPG-vlan52,10.30.41.104,/prod/app
srv-08525,poweredOn,centos 7.9,2,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan64,10.10.5.224,/prod/general
app-08526,poweredOn,centos 7.9,7,4096,136,68.0,dc2,cl-app,cl-app-esx01,dvPG-vlan27,10.20.10.224,/staging/app
app-08527,poweredOn,ubuntu 22.04,8,16384,162,81.0,dc1,cl-app,cl-app-esx01,dvPG-vlan46,10.10.52.81,/prod/app
db-08528,poweredOn,centos 7.9,14,65536,456,228.0,dc1,cl-db,cl-db-esx01,dvPG-vlan37,10.10.3.146,/prod/db
app-08529,poweredOn,rhel 8.6,5,15360,141,70.5,dc2,cl-app,cl-app-esx01,dvPG-vlan23,10.20.45.70,/prod/app
app-08530,poweredOn,centos 7.9,4,16384,133,66.5,dc1,cl-app,cl-app-esx01,dvPG-vlan44,10.10.56.33,/prod/app
web-08531,poweredOn,centos 8.4,3,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan48,10.10.8.8,/prod/web
srv-08532,poweredOn,2019,7,14336,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan46,10.20.45.210,/prod/general
cache-08533,poweredOn,centos 7.9,4,25600,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan74,10.10.50.108,/prod/cache
app-08534,poweredOn,rhel 8.6,4,14336,146,73.0,dc2,cl-app,cl-app-esx01,dvPG-vlan56,10.20.21.209,/staging/app
app-08535,poweredOn,ubuntu 22.04,4,16384,130,65.0,dc1,cl-app,cl-app-esx01,dvPG-vlan54,10.10.21.95,/prod/app
srv-08536,poweredOn,ubuntu 22.04,4,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan88,10.10.6.4,/prod/general
cache-08537,poweredOn,centos 7.9,4,25600,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan47,10.10.24.186,/prod/cache
db-08538,poweredOn,oracle linux 8.6,12,56320,483,241.5,dc1,cl-db,cl-db-esx01,dvPG-vlan57,10.10.28.78,/staging/db
srv-08539,poweredOn,debian 11,7,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan69,10.10.39.187,/prod/general
srv-08540,poweredOn,2019,7,11264,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan83,10.20.25.22,/staging/general
db-08541,poweredOn,oracle linux 8.6,8,50176,464,232.0,dc1,cl-db,cl-db-esx01,dvPG-vlan46,10.10.20.222,/prod/db
app-08542,poweredOn,centos 7.9,8,7168,142,71.0,dc2,cl-app,cl-app-esx01,dvPG-vlan16,10.20.51.171,/staging/app
mon-08543,poweredOn,ubuntu 22.04,2,5120,40,20.0,dc1,cl-monitoring,cl-monitoring-esx01,dvPG-vlan85,10.10.36.78,/prod/monitoring
web-08544,poweredOn,ubuntu 22.04,4,7168,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan55,10.30.33.33,/prod/web
app-08546,poweredOn,ubuntu 22.04,5,13312,149,74.5,dc2,cl-app,cl-app-esx01,dvPG-vlan42,10.20.58.181,/prod/app
app-08547,poweredOn,rhel 8.6,8,10240,134,67.0,dc1,cl-app,cl-app-esx01,dvPG-vlan11,10.10.5.185,/staging/app
web-08548,poweredOn,centos 8.4,4,8192,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan39,10.30.56.11,/prod/web
app-08549,poweredOn,rhel 8.6,2,9216,131,65.5,dc3,cl-app,cl-app-esx01,dvPG-vlan49,10.30.3.67,/prod/app
app-08550,poweredOn,ubuntu 22.04,4,16384,165,82.5,dc3,cl-app,cl-app-esx01,dvPG-vlan84,10.30.35.149,/staging/app
app-08551,poweredOn,rhel 8.6,4,4096,169,84.5,dc3,cl-app,cl-app-esx01,dvPG-vlan72,10.30.48.163,/dev/app
cache-08552,poweredOn,centos 7.9,4,23552,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan65,10.10.18.30,/prod/cache
app-08553,poweredOn,rhel 8.6,6,15360,130,65.0,dc2,cl-app,cl-app-esx01,dvPG-vlan62,10.20.3.197,/prod/app
srv-08557,poweredOn,centos 7.9,7,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan46,10.10.38.182,/staging/general
app-08558,poweredOn,ubuntu 22.04,5,5120,168,84.0,dc1,cl-app,cl-app-esx01,dvPG-vlan13,10.10.12.222,/prod/app
web-08559,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan19,10.10.22.108,/staging/web
app-08560,poweredOn,ubuntu 22.04,2,11264,175,87.5,dc2,cl-app,cl-app-esx01,dvPG-vlan77,10.20.1.85,/dev/app
db-08562,poweredOn,centos 7.9,8,55296,492,246.0,dc1,cl-db,cl-db-esx01,dvPG-vlan80,10.10.27.210,/staging/db
srv-08563,poweredOn,ubuntu 22.04,2,12288,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan68,10.10.21.108,/dev/general
app-08564,poweredOn,ubuntu 22.04,6,11264,137,68.5,dc3,cl-app,cl-app-esx01,dvPG-vlan20,10.30.48.78,/prod/app
web-08565,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan50,10.10.41.235,/prod/web
app-08566,poweredOn,ubuntu 22.04,3,10240,167,83.5,dc3,cl-app,cl-app-esx01,dvPG-vlan65,10.30.27.171,/dev/app
